Sample	Filter	total_reads	t_miRNA	t_hairpin	t_smallRNA	t_mRNA	t_unaligned	t_miRNA_mismatch	miRNA_detected	uniq_reads	u_miRNA	u_hairpin	u_smallRNA	u_mRNA	u_unaligned	u_miRNA_mismatch
SRR1561057	no	2759082	1664737	8092	167705	32592	885956	189200	528	132845	12459	530	9313	25275	85268	9625
SRR1561058	no	2437044	1666983	7466	142673	21706	598216	205260	530	107447	12718	465	7904	17014	69346	9915
SRR1561059	no	2237847	1386830	7524	110782	35469	697242	151391	529	120491	11129	464	7700	28692	72506	8347
SRR1561060	no	2770248	1868917	10049	122426	19899	748957	197144	546	98708	12754	510	7012	15698	62734	9768
SRR1561061	no	2522721	1510121	6472	151321	38956	815851	183425	535	129577	12176	488	8745	29849	78319	9431
SRR1561062	no	2856390	1672976	10438	181179	33600	958197	180775	527	131508	12457	583	9239	28068	81161	9530
SRR1561063	no	3377058	1633926	8211	256107	132273	1346541	187530	516	237391	12442	554	16583	65837	141975	9576
SRR1561064	no	3370069	1470761	5819	242257	149195	1502037	181835	516	224089	12233	475	16428	52903	142050	9452
SRR1561065	no	2735196	1746199	10424	131236	41502	805835	181739	538	137642	12319	603	8674	34404	81642	9371
SRR1561066	no	1744773	1132228	4851	88489	22122	497083	122989	505	84942	9884	340	6263	17797	50658	7379
SRR1561067	no	3591019	1725679	8904	265084	112205	1479147	186174	533	206654	12555	557	16433	49038	128071	9682
SRR1561068	no	2744626	1403106	5971	174829	67949	1092771	172311	530	154394	12237	472	11994	32563	97128	9376
SRR1561069	no	2763126	1843673	9291	122929	28676	758557	211985	539	122170	12753	486	7614	23352	77965	9836
SRR1561070	no	2204346	1307224	6653	145935	27965	716569	148184	517	103863	11212	447	8362	19688	64154	8570
SRR1561071	no	2155685	1364913	5418	126876	32510	625968	163235	517	118896	11488	449	7690	25523	73746	8814
SRR1561072	no	2821219	1756142	10002	153649	41323	860103	201170	536	142001	12550	504	9164	31082	88701	9630
SRR1561073	no	1799058	1073470	4473	136536	28543	556036	117905	499	98626	10044	359	7348	22558	58317	7617
SRR1561074	no	3203796	1608665	6842	224003	123161	1241125	192479	519	203108	12517	544	15494	47950	126603	9664
SRR1561075	no	1961382	1285677	5832	89329	20741	559803	136718	519	93101	10416	407	6295	17079	58904	7813
SRR1561076	no	2679910	1564424	7922	193325	65278	848961	180573	518	162913	12241	497	10996	43849	95330	9443
SRR1561077	no	2670990	1297167	5553	164851	83388	1120031	164790	523	187119	11944	442	12366	47940	114427	9185
SRR1561078	no	2094276	1405520	7007	95675	13633	572441	143286	517	79775	11056	412	6111	11389	50807	8372
SRR1561079	no	3215449	1480968	6375	240247	108595	1379264	166038	521	183441	12140	443	15211	39938	115709	9350
SRR1561080	no	2822104	1248100	4934	231095	142057	1195918	145795	499	208626	11098	456	16704	59085	121283	8442
SRR1561081	no	1179519	669884	2704	59064	15672	432195	65750	475	60380	7072	249	4646	13570	34843	4854
SRR1561082	no	2204453	1388250	5002	168571	28754	613876	142614	506	106319	10687	394	8158	21840	65240	8103
SRR1561083	no	1883429	1116743	4963	100752	10578	650393	119546	498	73078	10433	375	6136	8592	47542	7897
SRR1561084	no	2271689	1410394	7484	134056	18929	700826	154723	516	93501	11528	488	7686	14398	59401	8846
SRR1561085	no	2612831	1626752	9276	195838	27779	753186	165593	529	112439	11685	527	8609	21573	70045	8845
SRR1561086	no	1004111	588816	2152	49162	10596	353385	57528	464	49317	6518	226	3974	9366	29233	4455
SRR1561087	no	2130955	1115598	3921	102448	31925	877063	117244	507	110636	10018	370	7346	26154	66748	7513
SRR1561088	no	1684566	848871	2704	84860	58005	690126	76992	505	120170	7567	297	8661	31778	71867	5251
SRR1561089	no	2719506	1290629	5745	213444	93659	1116029	131762	506	171550	10584	431	12779	42412	105344	7929
SRR1561090	no	1584729	935342	5788	109100	18960	515539	102028	491	82608	9748	390	6842	15721	49907	7281
SRR1561091	no	1186167	527112	1760	70440	39619	547236	50696	466	78797	6104	227	6997	16325	49144	4088
SRR1561092	no	4456085	1314621	4751	233969	59362	2843382	129167	519	138262	10605	382	11470	27408	88397	7916
SRR1561093	no	3035796	1816793	9268	184824	26550	998361	201744	521	118972	12958	515	9292	20064	76143	10084
SRR1561094	no	1045602	628363	2300	56852	13818	344269	64441	466	53590	6647	230	4580	10872	31261	4520
SRR1561095	no	2407805	1516892	7668	188617	31395	663233	151175	515	108612	11498	464	9009	22690	64951	8682
SRR1561096	no	2446249	1485969	7033	153059	27976	772212	162123	515	104342	11746	460	8710	19618	63808	9039
