Sample	total	miRNA	hairpin	smallRNA	mRNA	unaligned	miRNA_mismatch
SRR1561057	20.77	133.62	15.27	18.01	1.29	10.39	19.66
SRR1561058	22.68	131.07	16.06	18.05	1.28	8.63	20.70
SRR1561059	18.57	124.61	16.22	14.39	1.24	9.62	18.14
SRR1561060	28.07	146.54	19.70	17.46	1.27	11.94	20.18
SRR1561061	19.47	124.02	13.26	17.30	1.31	10.42	19.45
SRR1561062	21.72	134.30	17.90	19.61	1.20	11.81	18.97
SRR1561063	14.23	131.32	14.82	15.44	2.01	9.48	19.58
SRR1561064	15.04	120.23	12.25	14.75	2.82	10.57	19.24
SRR1561065	19.87	141.75	17.29	15.13	1.21	9.87	19.39
SRR1561066	20.54	114.55	14.27	14.13	1.24	9.81	16.67
SRR1561067	17.38	137.45	15.99	16.13	2.29	11.55	19.23
SRR1561068	17.78	114.66	12.65	14.58	2.09	11.25	18.38
SRR1561069	22.62	144.57	19.12	16.15	1.23	9.73	21.55
SRR1561070	21.22	116.59	14.88	17.45	1.42	11.17	17.29
SRR1561071	18.13	118.81	12.07	16.50	1.27	8.49	18.52
SRR1561072	19.87	139.93	19.85	16.77	1.33	9.70	20.89
SRR1561073	18.24	106.88	12.46	18.58	1.27	9.53	15.48
SRR1561074	15.77	128.52	12.58	14.46	2.57	9.80	19.92
SRR1561075	21.07	123.43	14.33	14.19	1.21	9.50	17.50
SRR1561076	16.45	127.80	15.94	17.58	1.49	8.91	19.12
SRR1561077	14.27	108.60	12.56	13.33	1.74	9.79	17.94
SRR1561078	26.25	127.13	17.01	15.66	1.20	11.27	17.11
SRR1561079	17.53	121.99	14.39	15.79	2.72	11.92	17.76
SRR1561080	13.53	112.46	10.82	13.83	2.40	9.86	17.27
SRR1561081	19.53	94.72	10.86	12.71	1.15	12.40	13.55
SRR1561082	20.73	129.90	12.70	20.66	1.32	9.41	17.60
SRR1561083	25.77	107.04	13.23	16.42	1.23	13.68	15.14
SRR1561084	24.30	122.35	15.34	17.44	1.31	11.80	17.49
SRR1561085	23.24	139.22	17.60	22.75	1.29	10.75	18.72
SRR1561086	20.36	90.34	9.52	12.37	1.13	12.09	12.91
SRR1561087	19.26	111.36	10.60	13.95	1.22	13.14	15.61
SRR1561088	14.02	112.18	9.10	9.80	1.83	9.60	14.66
SRR1561089	15.85	121.94	13.33	16.70	2.21	10.59	16.62
SRR1561090	19.18	95.95	14.84	15.95	1.21	10.33	14.01
SRR1561091	15.05	86.36	7.75	10.07	2.43	11.14	12.40
SRR1561092	32.23	123.96	12.44	20.40	2.17	32.17	16.32
SRR1561093	25.52	140.21	18.00	19.89	1.32	13.11	20.01
SRR1561094	19.51	94.53	10.00	12.41	1.27	11.01	14.26
SRR1561095	22.17	131.93	16.53	20.94	1.38	10.21	17.41
SRR1561096	23.44	126.51	15.29	17.57	1.43	12.10	17.94
SRR1561097	19.78	104.88	11.48	12.49	1.19	10.02	15.14
SRR1561098	18.20	132.85	12.98	17.04	2.56	10.83	17.72
SRR1561099	21.69	108.84	15.67	17.07	1.23	10.99	16.16
SRR1561100	20.42	84.18	10.14	12.11	1.27	12.16	12.19
SRR1561101	16.71	138.95	12.90	16.42	2.16	10.23	17.93
SRR1561102	20.61	118.27	13.38	17.88	1.22	12.01	16.47
SRR1561103	16.97	84.90	8.02	10.47	2.27	12.32	12.19
SRR1561104	15.19	119.07	13.91	17.32	2.41	11.47	16.15
