sample_id	subject_id
SRR1561057	SRR1561057
SRR1561058	SRR1561058
SRR1561059	SRR1561059
SRR1561060	SRR1561060
SRR1561061	SRR1561061
SRR1561062	SRR1561062
SRR1561063	SRR1561063
SRR1561064	SRR1561064
SRR1561065	SRR1561065
SRR1561066	SRR1561066
SRR1561067	SRR1561067
SRR1561068	SRR1561068
SRR1561069	SRR1561069
SRR1561070	SRR1561070
SRR1561071	SRR1561071
SRR1561072	SRR1561072
SRR1561073	SRR1561073
SRR1561074	SRR1561074
SRR1561075	SRR1561075
SRR1561076	SRR1561076
SRR1561077	SRR1561077
SRR1561078	SRR1561078
SRR1561079	SRR1561079
SRR1561080	SRR1561080
SRR1561081	SRR1561081
SRR1561082	SRR1561082
SRR1561083	SRR1561083
SRR1561084	SRR1561084
SRR1561085	SRR1561085
SRR1561086	SRR1561086
SRR1561087	SRR1561087
SRR1561088	SRR1561088
SRR1561089	SRR1561089
SRR1561090	SRR1561090
SRR1561091	SRR1561091
SRR1561092	SRR1561092
SRR1561093	SRR1561093
SRR1561094	SRR1561094
SRR1561095	SRR1561095
SRR1561096	SRR1561096
SRR1561097	SRR1561097
SRR1561098	SRR1561098
SRR1561099	SRR1561099
SRR1561100	SRR1561100
SRR1561101	SRR1561101
SRR1561102	SRR1561102
SRR1561103	SRR1561103
SRR1561104	SRR1561104
