Sample	Total_reads	With_adapter	Short_reads	Pass_reads	Adapter_rate	Short_rate	Pass_rate
SRR1759212	10697688	10320821	747306	9950382	96.5	7.0	93.0
SRR1759213	11642297	11274783	1121392	10520905	96.8	9.6	90.4
SRR1759214	9795927	9535303	925927	8870000	97.3	9.5	90.5
SRR1759215	10286531	9922467	1531799	8754732	96.5	14.9	85.1
SRR1759216	10535124	10263476	1054995	9480129	97.4	10.0	90.0
SRR1759217	10849981	10391837	2161029	8688952	95.8	19.9	80.1
SRR1759218	12206660	12075507	1726314	10480346	98.9	14.1	85.9
SRR1759219	14763881	14383189	1772238	12991643	97.4	12.0	88.0
SRR1759220	10224351	10123912	1585393	8638958	99.0	15.5	84.5
SRR1759221	16255734	16050783	1381691	14874043	98.7	8.5	91.5
SRR1759222	15366175	15234423	1836754	13529421	99.1	12.0	88.0
SRR1759223	17874597	17053600	99713	17774884	95.4	0.6	99.4
SRR1759224	20684626	20464215	1857805	18826821	98.9	9.0	91.0
SRR1759225	15723230	15568258	2142747	13580483	99.0	13.6	86.4
SRR1759226	17614619	17420564	2060847	15553772	98.9	11.7	88.3
SRR1759227	24573660	24353050	3310376	21263284	99.1	13.5	86.5
SRR1759228	14350750	14195507	1326505	13024245	98.9	9.2	90.8
SRR1759229	17001863	15901003	1113331	15888532	93.5	6.5	93.5
SRR1759230	16998739	16804137	2913632	14085107	98.9	17.1	82.9
SRR1759231	17725494	17579890	2383511	15341983	99.2	13.4	86.6
SRR1759232	16063938	15917067	1580528	14483410	99.1	9.8	90.2
SRR1759233	19174763	18979793	3159634	16015129	99.0	16.5	83.5
SRR1759234	16888582	13254306	419792	16468790	78.5	2.5	97.5
SRR1759235	11315988	11119046	1877053	9438935	98.3	16.6	83.4
SRR1759236	17980268	16948407	474329	17505939	94.3	2.6	97.4
SRR1759237	23457233	20351940	769344	22687889	86.8	3.3	96.7
SRR1759238	11758112	10812421	245851	11512261	92.0	2.1	97.9
SRR1759239	85321866	70140600	26290692	59031174	82.2	30.8	69.2
SRR1759240	21339492	20185399	636481	20703011	94.6	3.0	97.0
SRR1759241	119039780	117680783	1660559	117379221	98.9	1.4	98.6
SRR1759242	35988842	35596416	189472	35799370	98.9	0.5	99.5
SRR1759243	17706807	17595378	929214	16777593	99.4	5.2	94.8
SRR1759244	10764971	10518323	2437006	8327965	97.7	22.6	77.4
SRR1759245	13371997	12892072	1299904	12072093	96.4	9.7	90.3
SRR1759246	22774664	22568285	2599765	20174899	99.1	11.4	88.6
SRR1759247	14283612	14123602	1180004	13103608	98.9	8.3	91.7
SRR1759248	17436483	16817086	746876	16689607	96.4	4.3	95.7
SRR1759249	21069321	20778829	953172	20116149	98.6	4.5	95.5
SRR1759250	17482548	17293215	841629	16640919	98.9	4.8	95.2
SRR1759251	20276057	19186921	171784	20104273	94.6	0.8	99.2
SRR1759252	14545643	13938946	484600	14061043	95.8	3.3	96.7
SRR1759253	13606125	11779977	518008	13088117	86.6	3.8	96.2
SRR1759254	19266661	15803236	295603	18971058	82.0	1.5	98.5
SRR1759255	21426693	18382858	641399	20785294	85.8	3.0	97.0
SRR1759256	20683130	20336414	320419	20362711	98.3	1.5	98.5
SRR1759257	20906712	20764471	309339	20597373	99.3	1.5	98.5
SRR1759258	23610018	23331430	247758	23362260	98.8	1.0	99.0
SRR1759259	14285476	13863856	401614	13883862	97.0	2.8	97.2
SRR1759260	13766953	13382218	2171967	11594986	97.2	15.8	84.2
SRR1759261	18378785	15461334	1099180	17279605	84.1	6.0	94.0
SRR1759262	14359538	14026075	2732684	11626854	97.7	19.0	81.0
SRR1759263	20925805	20704797	3199604	17726201	98.9	15.3	84.7
SRR1759264	12636871	12485114	1180773	11456098	98.8	9.3	90.7
SRR1759265	15097514	14451370	1169124	13928390	95.7	7.7	92.3
SRR1759266	14976048	14691647	1719351	13256697	98.1	11.5	88.5
SRR1759267	15076907	14938227	2188211	12888696	99.1	14.5	85.5
SRR1759268	18317584	18182640	1176627	17140957	99.3	6.4	93.6
SRR1759269	17020831	14986154	1748706	15272125	88.0	10.3	89.7
SRR1759270	12082088	11425322	1201312	10880776	94.6	9.9	90.1
SRR1759271	14603552	14479101	2022825	12580727	99.1	13.9	86.1
SRR1759272	17437874	17291833	1655074	15782800	99.2	9.5	90.5
SRR1759273	18831945	18627345	1202065	17629880	98.9	6.4	93.6
SRR1759274	10648841	10131106	1471805	9177036	95.1	13.8	86.2
SRR1759275	12455669	11934275	2469778	9985891	95.8	19.8	80.2
