Sample	total	miRNA	hairpin	smallRNA	mRNA	unaligned	miRNA_mismatch
SRR1759212	23.10	177.44	3.82	10.38	3.34	16.65	26.47
SRR1759213	21.00	205.66	4.00	12.09	4.69	9.18	34.43
SRR1759214	22.41	188.44	4.26	11.36	4.94	10.44	30.67
SRR1759215	15.41	153.61	3.33	11.62	3.50	10.18	24.31
SRR1759216	24.56	188.87	4.30	12.13	4.54	13.31	28.87
SRR1759217	17.34	134.22	3.26	11.30	5.98	12.05	21.97
SRR1759218	21.36	204.01	3.54	10.89	3.52	11.42	32.45
SRR1759219	19.69	215.72	3.98	12.41	3.33	10.92	33.87
SRR1759220	22.79	175.84	3.41	11.41	5.29	12.18	27.17
SRR1759221	11.09	183.77	2.38	10.87	1.42	14.59	25.96
SRR1759222	22.01	262.25	4.79	9.72	2.82	6.74	51.64
SRR1759223	13.64	288.75	4.47	18.18	1.37	11.78	46.99
SRR1759224	23.88	242.31	2.86	13.57	2.03	22.13	36.22
SRR1759225	9.37	172.11	2.84	8.58	1.63	7.95	34.75
SRR1759226	14.32	282.66	2.93	13.95	1.64	11.03	43.25
SRR1759227	14.40	230.22	2.75	12.37	1.54	19.78	32.99
SRR1759228	8.46	145.62	2.25	7.39	1.46	8.61	29.69
SRR1759229	7.77	181.03	3.27	16.30	1.40	9.64	28.21
SRR1759230	5.18	147.29	2.73	11.37	1.38	6.87	22.86
SRR1759231	34.28	272.48	3.71	10.13	3.89	24.61	37.43
SRR1759232	12.65	196.93	2.91	10.92	1.67	9.69	39.81
SRR1759233	10.47	214.84	2.47	11.36	1.59	9.49	30.57
SRR1759234	15.71	182.45	4.65	33.49	2.09	16.42	26.27
SRR1759235	10.69	162.91	2.69	10.85	2.20	7.96	23.74
SRR1759236	19.64	292.38	4.97	19.85	1.82	14.54	47.33
SRR1759237	13.58	354.91	5.38	29.84	1.84	8.54	46.61
SRR1759238	23.57	228.05	4.66	18.00	2.17	16.35	31.98
SRR1759239	10.32	495.01	4.95	27.61	2.30	11.12	74.05
SRR1759240	17.52	289.20	4.88	18.65	2.17	13.39	47.15
SRR1759241	13.63	834.98	5.09	46.09	1.87	9.79	112.25
SRR1759242	33.18	286.55	3.39	14.40	2.06	41.81	43.25
SRR1759243	26.96	260.06	3.49	11.75	2.49	24.35	41.08
SRR1759244	20.00	157.54	3.10	11.50	4.75	11.52	24.81
SRR1759245	20.27	196.12	3.66	13.50	2.34	15.78	28.89
SRR1759246	33.66	318.70	3.54	11.79	3.56	23.72	62.10
SRR1759247	9.57	134.11	2.21	8.20	1.36	10.87	26.42
SRR1759248	8.41	269.72	3.22	16.51	1.43	5.87	39.07
SRR1759249	34.06	347.75	4.77	17.96	2.84	20.82	53.80
SRR1759250	37.48	368.78	5.15	14.76	3.14	14.11	55.53
SRR1759251	45.91	221.52	5.89	19.89	3.27	47.63	34.10
SRR1759252	25.38	242.61	4.17	15.75	1.84	20.31	40.26
SRR1759253	22.38	241.55	5.97	27.92	2.71	12.78	37.30
SRR1759254	32.79	260.18	6.91	31.57	6.82	20.36	38.46
SRR1759255	34.54	316.90	6.90	30.68	5.75	18.33	51.64
SRR1759256	26.99	380.29	5.18	17.17	2.18	11.86	63.09
SRR1759257	61.73	213.22	3.43	10.45	3.60	67.25	34.16
SRR1759258	13.23	251.29	3.25	17.17	1.76	14.58	43.01
SRR1759259	27.99	275.08	4.67	18.39	3.38	15.71	42.26
SRR1759260	7.09	151.01	2.99	10.91	1.50	8.03	22.97
SRR1759261	8.24	201.04	3.13	22.76	1.65	7.58	28.71
SRR1759262	8.44	141.75	3.19	9.88	1.50	10.83	23.09
SRR1759263	24.08	260.80	4.90	10.20	3.24	8.96	52.14
SRR1759264	25.93	207.29	3.18	11.72	2.97	14.55	31.42
SRR1759265	45.01	183.38	3.41	13.41	5.50	46.16	28.09
SRR1759266	28.37	137.71	2.73	9.59	2.79	32.95	22.66
SRR1759267	14.53	186.83	2.73	9.13	1.77	9.86	39.92
SRR1759268	33.43	275.97	3.05	11.60	2.55	19.43	46.01
SRR1759269	34.44	272.64	5.56	24.17	8.24	15.62	39.67
SRR1759270	25.97	193.33	5.08	13.29	3.40	17.12	29.33
SRR1759271	13.91	206.32	3.26	9.45	1.98	7.14	41.53
SRR1759272	36.31	273.24	3.59	11.22	3.46	20.32	41.17
SRR1759273	24.86	279.89	3.07	13.69	2.70	15.57	47.23
SRR1759274	8.96	143.28	2.84	12.99	1.57	8.88	22.07
SRR1759275	7.03	140.82	2.47	9.84	1.67	6.23	21.69
