Sample	Filter	total_reads	t_miRNA	t_hairpin	t_smallRNA	t_mRNA	t_unaligned	t_miRNA_mismatch	miRNA_detected	uniq_reads	u_miRNA	u_hairpin	u_smallRNA	u_mRNA	u_unaligned	u_miRNA_mismatch
SRR1803389	no	8754510	4755689	4736	327788	149147	3517150	821025	681	2000722	15428	998	21335	31632	1931329	12268
SRR1803390	no	15308667	11068726	8514	764482	209994	3256951	1876679	793	1787351	21093	1680	31334	70071	1663173	17022
SRR1803391	no	16935689	7392316	74671	2630487	1516254	5321961	2267142	486	2242171	33740	3087	78271	135755	1991318	31641
SRR1803392	no	72392344	28123961	226608	13539487	5230249	25272039	8334409	500	7910032	50661	6731	235763	301681	7315196	48366
SRR1803393	no	6456414	3029165	7337	211372	272595	2935945	487094	771	1748078	15676	1679	24341	53199	1653183	12223
SRR1803394	no	9200758	4640772	8806	298013	335179	3917988	836045	836	2399084	18406	1815	27708	85500	2265655	14535
SRR1803395	no	11632387	2575370	52769	1570513	2071349	5362386	889017	347	1731064	21895	1527	55291	93691	1558660	20800
SRR1803396	no	24802266	4650408	175107	4312558	3205865	12458328	1565378	415	3030895	28135	3308	123292	172830	2703330	26643
SRR1803397	no	2767270	404917	4340	37040	147341	2173632	81693	419	375957	5067	645	5491	43753	321001	3721
SRR1803398	no	25329381	6160608	341457	1675911	4775602	12375803	2042505	377	3266427	22236	3447	66307	229950	2944487	20986
SRR1803399	no	19905483	4509240	283431	1067861	3293786	10751165	1511888	356	2695775	17917	2893	60678	167375	2446912	16853
SRR1803400	no	2952010	549394	4441	43436	166052	2188687	106295	441	378902	5543	689	6569	66613	299488	4124
SRR1803401	no	14060682	2515512	148732	885789	2726246	7784403	808993	348	2125790	15587	2528	49983	167583	1890109	14527
SRR1803402	no	15731392	2676824	156533	1067207	3131159	8699669	850520	378	2467619	17419	2609	58225	168119	2221247	16216
SRR1803403	no	1156196	655413	2759	19798	64609	413617	145871	396	222437	5274	400	2722	10033	204008	3972
SRR1803404	no	19100830	3980471	133093	1607475	3233809	10145982	1293986	379	2667111	20330	2842	75470	157544	2410925	19062
SRR1803405	no	18777962	4380860	125829	1494768	2770160	10006345	1418681	362	2407914	19606	2271	73762	140062	2172213	18462
SRR1803406	no	2266346	633034	1600	26769	71556	1533387	152153	387	286097	4856	267	3416	9438	268120	3633
SRR1803407	no	16142915	4428986	92375	1220014	2427140	7974400	1433515	402	2195081	20691	2181	62900	132222	1977087	19441
SRR1803408	no	5736808	331275	24064	503530	928784	3949155	112491	377	1791647	9179	1338	42229	96084	1642817	8043
SRR1803389	yes	6273727	4743142	3715	306620	116227	1104023	811065	442	57166	8276	247	7012	2784	38847	6397
SRR1803390	yes	13190154	11044052	6404	725365	135397	1278936	1857064	470	67592	9667	331	8839	3862	44893	7610
SRR1803391	yes	14144110	7346010	68343	2519796	1204406	3005555	2224899	391	171574	15597	615	23536	17747	114079	13883
SRR1803392	yes	62118829	27994894	210585	12954583	4682002	16276765	8206819	426	235977	16995	803	29057	29358	159764	15102
SRR1803393	yes	4354310	3015928	5267	185903	211672	935540	477191	462	68700	8268	420	7595	4297	48120	6352
SRR1803394	yes	6393383	4622665	6732	267396	240113	1256477	822362	472	68758	8867	363	8185	4213	47130	6852
SRR1803395	yes	9639758	2555982	50480	1494265	1928184	3610847	869863	316	158279	12682	414	17608	16236	111339	11669
SRR1803396	yes	21172597	4622337	169639	4092713	2926439	9361469	1538272	363	214001	14603	691	25118	24162	149427	13275
SRR1803397	yes	2346630	401913	3644	31234	90404	1819435	79254	318	27120	3426	196	1945	2231	19322	2384
SRR1803398	yes	21385206	6139721	335574	1584871	4364619	8960421	2022145	339	209817	12339	707	19758	27494	149519	11201
SRR1803399	yes	16652088	4496132	278248	985810	2991729	7900169	1499251	316	193987	11140	637	17656	24220	140334	10168
SRR1803400	yes	2510766	545822	3653	36070	77898	1847323	103382	316	28719	3650	180	2081	2312	20496	2571
SRR1803401	yes	11560592	2507149	144878	828891	2406111	5673563	800893	318	190584	10480	685	17419	25113	136887	9484
SRR1803402	yes	12831161	2665483	152341	995270	2831522	6186545	839709	330	195663	11058	683	18630	25186	140106	9945
SRR1803403	yes	927717	652576	2358	17931	52624	202228	143497	309	21964	3618	128	1311	1473	15434	2574
SRR1803404	yes	15913284	3966910	128645	1506096	2962094	7349539	1281109	330	210764	12757	720	21563	24359	151365	11611
SRR1803405	yes	15949672	4367659	122271	1397950	2529366	7532426	1405937	315	203148	12410	595	21628	22943	145572	11343
SRR1803406	yes	1964462	630724	1340	23724	60401	1248273	150225	303	19561	3479	88	1415	1353	13226	2477
SRR1803407	yes	13584922	4414168	88815	1142942	2190588	5748409	1419438	352	197301	12696	628	19965	22417	141595	11570
SRR1803408	yes	3726797	328059	22184	452940	753468	2170146	110094	304	120665	7330	476	13719	17115	82025	6320
