Sample	Total_reads	With_adapter	Short_reads	Pass_reads	Adapter_rate	Short_rate	Pass_rate
SRR1803389	10502778	7478664	1748268	8754510	71.2	16.6	83.4
SRR1803390	16395577	14168014	1086910	15308667	86.4	6.6	93.4
SRR1803391	27617302	26266227	10681613	16935689	95.1	38.7	61.3
SRR1803392	85805891	77844177	13413547	72392344	90.7	15.6	84.4
SRR1803393	8434289	6273597	1977875	6456414	74.4	23.5	76.5
SRR1803394	14337134	11387218	5136376	9200758	79.4	35.8	64.2
SRR1803395	16286791	15515576	4654404	11632387	95.3	28.6	71.4
SRR1803396	30805063	29651035	6002797	24802266	96.3	19.5	80.5
SRR1803397	3524126	3244411	756856	2767270	92.1	21.5	78.5
SRR1803398	32905263	31524130	7575882	25329381	95.8	23.0	77.0
SRR1803399	23093324	22088654	3187841	19905483	95.6	13.8	86.2
SRR1803400	3434529	3203746	482519	2952010	93.3	14.0	86.0
SRR1803401	19393112	18553278	5332430	14060682	95.7	27.5	72.5
SRR1803402	22731374	21661810	6999982	15731392	95.3	30.8	69.2
SRR1803403	3053059	2869229	1896863	1156196	94.0	62.1	37.9
SRR1803404	26174041	25108030	7073211	19100830	95.9	27.0	73.0
SRR1803405	22709505	21732910	3931543	18777962	95.7	17.3	82.7
SRR1803406	3067492	2823679	801146	2266346	92.1	26.1	73.9
SRR1803407	20573772	19690018	4430857	16142915	95.7	21.5	78.5
SRR1803408	25216718	23107647	19479910	5736808	91.6	77.2	22.8
