Sample	total	miRNA	hairpin	smallRNA	mRNA	unaligned	miRNA_mismatch
SRR1803389	4.38	308.25	4.75	15.36	4.72	1.82	66.92
SRR1803390	8.57	524.76	5.07	24.40	3.00	1.96	110.25
SRR1803391	7.55	219.10	24.19	33.61	11.17	2.67	71.65
SRR1803392	9.15	555.14	33.67	57.43	17.34	3.45	172.32
SRR1803393	3.69	193.24	4.37	8.68	5.12	1.78	39.85
SRR1803394	3.84	252.13	4.85	10.76	3.92	1.73	57.52
SRR1803395	6.72	117.62	34.56	28.40	22.11	3.44	42.74
SRR1803396	8.18	165.29	52.93	34.98	18.55	4.61	58.75
SRR1803397	7.36	79.91	6.73	6.75	3.37	6.77	21.95
SRR1803398	7.75	277.06	99.06	25.28	20.77	4.20	97.33
SRR1803399	7.38	251.67	97.97	17.60	19.68	4.39	89.71
SRR1803400	7.79	99.11	6.45	6.61	2.49	7.31	25.77
SRR1803401	6.61	161.39	58.83	17.72	16.27	4.12	55.69
SRR1803402	6.38	153.67	60.00	18.33	18.62	3.92	52.45
SRR1803403	5.20	124.27	6.90	7.27	6.44	2.03	36.72
SRR1803404	7.16	195.79	46.83	21.30	20.53	4.21	67.88
SRR1803405	7.80	223.44	55.41	20.26	19.78	4.61	76.84
SRR1803406	7.92	130.36	5.99	7.84	7.58	5.72	41.88
SRR1803407	7.35	214.05	42.35	19.40	18.36	4.03	73.74
SRR1803408	3.20	36.09	17.99	11.92	9.67	2.40	13.99
